tech_company,benefits,workplace_resources,mh_employer_discussion,mh_coworker_discussion,medical_coverage,mental_health,mh_share,age,gender,country
Yes,No,I don't know,No,Yes,Yes,Possibly,5,27.0,Female,United Kingdom
Yes,Yes,No,No,Yes,Yes,Possibly,4,31.0,Male,United Kingdom
Yes,I don't know,No,Yes,Yes,No,Yes,5,36.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,10,22.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,8,36.0,Female,United States of America
Yes,Yes,No,No,No,Yes,No,3,38.0,Female,United States of America
No,Yes,No,Yes,Yes,Yes,Yes,2,40.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Yes,10,35.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Yes,3,22.0,Female,United States of America
No,Yes,I don't know,No,No,Yes,Yes,9,28.0,Male,United States of America
Yes,I don't know,No,No,Yes,Yes,Possibly,8,21.0,Male,Germany
No,I don't know,I don't know,No,No,Yes,Don't Know,7,35.0,Female,United Kingdom
Yes,No,No,No,No,Yes,Possibly,3,22.0,Male,United Kingdom
No,I don't know,No,Yes,Yes,Yes,Yes,10,37.0,Female,United States of America
Yes,No,No,Yes,Yes,Yes,Yes,5,25.0,Male,United Kingdom
Yes,No,No,No,No,Yes,Don't Know,5,40.0,Male,Canada
No,Yes,I don't know,No,No,Yes,Yes,8,66.0,Female,United States of America
No,Yes,No,No,Yes,Yes,Yes,4,31.0,Female,United States of America
No,Yes,Yes,No,No,Yes,Yes,9,32.0,Male,Canada
Yes,Yes,No,No,No,Yes,Yes,7,30.0,Female,United States of America
Yes,Yes,No,Yes,No,Yes,Yes,10,31.0,Male,United States of America
No,No,I don't know,No,No,Yes,Yes,10,28.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,8,25.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,7,35.0,Male,United States of America
Yes,Yes,I don't know,Yes,No,Yes,Possibly,8,40.0,Male,United States of America
No,I don't know,I don't know,Yes,Yes,No,Yes,6,32.0,Male,United States of America
No,I don't know,I don't know,No,No,Yes,No,1,39.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,4,33.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Possibly,8,40.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,7,42.0,Male,United States of America
No,I don't know,I don't know,Yes,No,Yes,Yes,6,32.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,9,27.0,Female,United States of America
No,I don't know,No,No,No,Yes,Yes,10,39.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,10,42.0,Female,United States of America
Yes,Yes,No,Yes,No,Yes,Yes,10,37.0,Other,Canada
No,I don't know,I don't know,Yes,No,Yes,Yes,6,38.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,Don't Know,6,47.0,Male,United Kingdom
Yes,I don't know,Yes,No,No,Yes,Yes,5,64.0,Male,United Kingdom
Yes,Yes,I don't know,No,No,Yes,No,5,37.0,Male,United Kingdom
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,30.0,Female,United Kingdom
No,I don't know,No,No,No,Yes,No,7,25.0,Male,United Kingdom
Yes,No,Yes,No,No,Yes,Yes,1,25.0,Female,United Kingdom
No,Yes,Yes,Yes,Yes,Yes,Yes,4,44.0,Female,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,26.0,Female,Portugal
Yes,I don't know,I don't know,No,No,No,No,3,35.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,No,6,45.0,Male,United States of America
Yes,I don't know,No,No,No,No,No,4,23.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,Don't Know,5,44.0,Male,United States of America
No,Yes,Yes,No,Yes,Yes,Possibly,5,38.0,Male,United States of America
No,Yes,Yes,Yes,No,Yes,No,8,46.0,Male,United States of America
No,Yes,I don't know,Yes,No,Yes,Yes,5,27.0,Other,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,7,39.0,Female,United States of America
Yes,I don't know,No,No,No,Yes,Possibly,2,33.0,Female,United States of America
No,No,No,No,No,Yes,No,2,35.0,Male,United Kingdom
Yes,Yes,No,Yes,No,Yes,Yes,5,26.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,8,50.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Yes,10,31.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Yes,7,30.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,7,30.0,Male,United States of America
Yes,No,No,Yes,Yes,Yes,Yes,7,34.0,Male,Germany
Yes,Yes,Yes,Yes,No,Yes,Yes,8,24.0,Female,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Don't Know,1,23.0,Male,Canada
Yes,Yes,No,No,Yes,Yes,Yes,4,31.0,Female,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,6,27.0,Female,United States of America
No,Yes,Yes,No,No,Yes,No,8,52.0,Female,United States of America
Yes,No,I don't know,No,No,Yes,Possibly,0,37.0,Male,United States of America
No,No,Yes,No,No,Yes,No,5,37.0,Male,Canada
No,Yes,No,No,No,Yes,Yes,10,38.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,8,34.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,3,38.0,Female,Germany
Yes,I don't know,I don't know,No,No,Yes,Possibly,8,30.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,Possibly,10,52.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Don't Know,0,26.0,Female,United Kingdom
Yes,Yes,No,Yes,Yes,Yes,Yes,8,44.0,Male,United States of America
No,Yes,No,No,No,Yes,Possibly,5,30.0,Male,United States of America
Yes,Yes,Yes,Yes,No,Yes,Yes,8,27.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,39.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,No,6,40.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,Possibly,8,36.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,Don't Know,7,43.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,38.0,Male,United States of America
Yes,I don't know,No,No,No,No,No,6,42.0,Male,United States of America
Yes,No,Yes,Yes,Yes,Yes,Yes,7,46.0,Male,United Kingdom
No,No,No,No,Yes,Yes,Yes,10,25.0,Male,United Kingdom
Yes,Yes,Yes,No,No,Yes,Don't Know,7,28.0,Other,Canada
Yes,Yes,No,No,Yes,Yes,Possibly,8,24.0,Female,Germany
Yes,I don't know,No,No,No,Yes,No,6,26.0,Male,United Kingdom
Yes,Yes,Yes,No,Yes,Yes,Yes,8,43.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,5,25.0,Female,United States of America
No,Yes,I don't know,No,No,Yes,Yes,3,34.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,No,6,28.0,Female,United States of America
Yes,No,I don't know,No,No,Yes,Possibly,1,26.0,Female,United Kingdom
Yes,I don't know,No,Yes,No,Yes,Possibly,5,24.0,Male,United States of America
Yes,I don't know,No,Yes,Yes,Yes,Yes,7,54.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,7,47.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,30.0,Other,United States of America
No,Yes,I don't know,No,No,Yes,Possibly,8,48.0,Male,United States of America
Yes,I don't know,Yes,Yes,Yes,No,Possibly,4,35.0,Male,United States of America
No,I don't know,I don't know,No,No,Yes,No,10,34.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Possibly,6,25.0,Male,United States of America
Yes,No,No,No,Yes,Yes,Yes,9,48.0,Male,Spain
No,Yes,I don't know,No,No,Yes,Yes,2,34.0,Male,United States of America
Yes,Yes,No,No,No,Yes,No,3,42.0,Male,United States of America
Yes,I don't know,No,No,Yes,Yes,Yes,8,27.0,Male,United States of America
Yes,Yes,No,Yes,No,Yes,Possibly,7,33.0,Female,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,7,27.0,Female,United States of America
Yes,Yes,No,No,No,Yes,Possibly,3,48.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,7,32.0,Female,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,9,29.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Possibly,5,23.0,Female,Canada
No,Yes,Yes,No,Yes,Yes,Possibly,6,50.0,Female,United States of America
No,Yes,I don't know,No,Yes,Yes,Possibly,9,42.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,Don't Know,7,22.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,7,39.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Possibly,5,29.0,Female,Canada
Yes,Yes,No,No,No,Yes,Possibly,8,28.0,Male,United States of America
No,Yes,Yes,No,No,Yes,No,10,28.0,Male,United States of America
No,I don't know,I don't know,No,Yes,Yes,Yes,8,25.0,Female,United States of America
Yes,Yes,I don't know,Yes,No,Yes,No,8,37.0,Male,United States of America
Yes,No,No,Yes,Yes,Yes,No,10,37.0,Male,Spain
Yes,Yes,No,No,No,Yes,No,9,47.0,Female,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,6,26.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,No,5,37.0,Male,Australia
Yes,Yes,No,Yes,Yes,Yes,Yes,2,29.0,Male,United States of America
Yes,I don't know,No,Yes,No,Yes,Yes,10,33.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,10,44.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,6,34.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Don't Know,3,35.0,Male,United States of America
Yes,Yes,I don't know,Yes,No,Yes,Yes,5,32.0,Other,United States of America
Yes,Yes,Yes,Yes,No,Yes,No,10,31.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,8,30.0,Male,United States of America
Yes,I don't know,Yes,No,No,No,Yes,5,26.0,Female,United States of America
No,Yes,No,No,Yes,Yes,No,10,29.0,Female,Germany
No,Yes,Yes,No,No,Yes,Possibly,4,35.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,0,26.0,Other,United States of America
Yes,I don't know,I don't know,No,No,Yes,Possibly,7,30.0,Male,United States of America
No,Yes,No,No,No,Yes,Don't Know,9,39.0,Male,United States of America
Yes,No,I don't know,No,No,Yes,Don't Know,10,29.0,Male,Spain
Yes,No,No,No,No,Yes,No,9,27.0,Male,Spain
Yes,No,No,No,No,Yes,Don't Know,8,29.0,Male,Spain
Yes,No,No,No,No,Yes,No,8,43.0,Male,Spain
Yes,No,No,No,No,Yes,Don't Know,7,31.0,Male,Spain
Yes,No,No,No,No,Yes,Don't Know,9,27.0,Female,Spain
Yes,Yes,Yes,Yes,No,Yes,No,10,36.0,Male,Greece
Yes,Yes,Yes,No,Yes,Yes,No,9,44.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,27.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,42.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,28.0,Male,United States of America
No,Yes,Yes,No,Yes,Yes,Yes,5,43.0,Male,United States of America
Yes,Yes,Yes,Yes,No,Yes,Yes,8,49.0,Female,United States of America
Yes,I don't know,No,No,No,Yes,Possibly,6,32.0,Male,France
Yes,I don't know,I don't know,No,No,Yes,Don't Know,0,33.0,Male,United States of America
Yes,I don't know,I don't know,No,No,No,Yes,9,25.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,9,42.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Don't Know,6,25.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Possibly,10,25.0,Female,United States of America
No,Yes,No,No,No,Yes,No,3,22.0,Female,United States of America
Yes,I don't know,No,No,Yes,No,Possibly,7,28.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Possibly,6,37.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,7,35.0,Male,Canada
Yes,I don't know,No,No,No,Yes,Possibly,3,20.0,Male,United Kingdom
No,Yes,Yes,Yes,No,Yes,No,0,62.0,Female,United States of America
Yes,I don't know,I don't know,Yes,Yes,Yes,Possibly,7,29.0,Male,Germany
Yes,Yes,Yes,No,No,Yes,Yes,5,37.0,Male,United Kingdom
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,8,51.0,Male,United States of America
No,Yes,Yes,No,Yes,Yes,No,8,60.0,Male,United States of America
Yes,I don't know,I don't know,Yes,No,Yes,Don't Know,6,38.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,No,2,41.0,Male,United Kingdom
No,I don't know,No,No,No,Yes,Yes,9,27.0,Male,United States of America
No,Yes,No,No,No,Yes,Possibly,4,42.0,Female,United States of America
No,No,No,No,Yes,Yes,No,7,33.0,Male,Germany
Yes,I don't know,I don't know,Yes,No,Yes,No,7,40.0,Male,United States of America
No,Yes,Yes,No,Yes,Yes,Yes,10,25.0,Female,United States of America
Yes,I don't know,No,No,No,No,No,6,49.0,Female,United States of America
Yes,No,No,No,Yes,No,Yes,5,44.0,Female,United States of America
Yes,I don't know,No,No,Yes,No,Yes,5,30.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Possibly,6,26.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,31.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,8,32.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Don't Know,10,24.0,Male,United States of America
Yes,I don't know,I don't know,Yes,Yes,Yes,Possibly,9,34.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,9,31.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,No,8,47.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,6,59.0,Male,United States of America
Yes,I don't know,No,Yes,Yes,Yes,Yes,9,44.0,Male,United States of America
Yes,No,No,No,No,Yes,No,0,26.0,Male,United States of America
Yes,I don't know,No,Yes,Yes,Yes,Possibly,7,43.0,Male,United States of America
Yes,I don't know,No,Yes,No,Yes,Possibly,7,22.0,Male,Germany
Yes,No,No,Yes,No,Yes,Yes,10,24.0,Male,Netherlands
Yes,I don't know,I don't know,No,Yes,No,Yes,2,35.0,Male,United States of America
No,I don't know,No,No,Yes,Yes,No,4,30.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,Don't Know,7,37.0,Male,United States of America
Yes,No,No,Yes,Yes,Yes,Yes,9,27.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Possibly,6,42.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,7,40.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,10,29.0,Male,United States of America
No,Yes,I don't know,Yes,Yes,Yes,Yes,3,40.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,2,50.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,8,35.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Possibly,5,24.0,Male,Mexico
Yes,Yes,I don't know,No,Yes,Yes,Yes,6,35.0,Female,United States of America
Yes,I don't know,No,No,No,Yes,No,7,36.0,Male,United States of America
Yes,I don't know,I don't know,No,No,No,No,5,47.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,6,30.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,32.0,Male,United States of America
Yes,I don't know,No,No,Yes,Yes,Yes,7,38.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,6,38.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,No,5,26.0,Female,United States of America
Yes,Yes,No,No,No,Yes,Yes,7,45.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,Possibly,7,37.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,33.0,Female,United States of America
Yes,Yes,Yes,Yes,No,Yes,No,6,35.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,No,9,44.0,Male,United States of America
Yes,I don't know,No,No,Yes,No,Yes,10,27.0,Female,United States of America
No,Yes,I don't know,No,Yes,Yes,Yes,8,35.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,6,23.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Yes,8,32.0,Male,Netherlands
Yes,Yes,I don't know,No,Yes,Yes,No,7,31.0,Male,Sweden
Yes,No,No,Yes,Yes,Yes,Yes,10,37.0,Male,United Kingdom
Yes,Yes,I don't know,Yes,Yes,Yes,No,4,31.0,Male,Netherlands
Yes,No,No,Yes,Yes,Yes,Possibly,9,40.0,Male,United Kingdom
Yes,No,No,Yes,Yes,Yes,No,10,32.0,Male,Spain
Yes,Yes,Yes,No,Yes,Yes,Yes,9,33.0,Male,United States of America
No,Yes,I don't know,No,Yes,Yes,Yes,6,36.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Possibly,5,57.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,No,5,38.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Possibly,9,27.0,Female,United States of America
Yes,Yes,Yes,Yes,No,Yes,Possibly,3,36.0,Male,United States of America
Yes,No,No,Yes,No,Yes,No,9,30.0,Male,United Kingdom
Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,35.0,Male,United Kingdom
Yes,I don't know,No,No,No,Yes,Don't Know,2,35.0,Male,France
Yes,Yes,I don't know,No,No,Yes,No,7,33.0,Male,Australia
Yes,No,No,No,No,Yes,No,7,32.0,Male,Netherlands
Yes,I don't know,No,No,Yes,Yes,Yes,5,45.0,Male,United Kingdom
No,I don't know,I don't know,No,No,Yes,No,7,40.0,Male,Spain
No,I don't know,No,No,No,Yes,No,5,37.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,6,26.0,Male,United States of America
Yes,Yes,No,No,No,Yes,No,3,33.0,Female,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,9,27.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,0,42.0,Male,United States of America
Yes,No,I don't know,Yes,Yes,Yes,Yes,5,31.0,Female,Netherlands
No,I don't know,Yes,No,No,Yes,No,7,32.0,Male,United Kingdom
Yes,No,No,No,No,Yes,Don't Know,3,42.0,Female,Spain
Yes,I don't know,No,No,No,Yes,Yes,2,41.0,Male,Germany
Yes,Yes,No,No,No,Yes,Possibly,6,25.0,Male,India
Yes,Yes,Yes,Yes,Yes,Yes,No,7,31.0,Female,United States of America
Yes,No,No,Yes,Yes,No,Yes,9,42.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Yes,0,41.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,35.0,Other,United States of America
Yes,Yes,No,No,No,Yes,Don't Know,5,24.0,Male,Mexico
Yes,Yes,Yes,No,No,Yes,Yes,9,37.0,Male,United States of America
No,Yes,Yes,No,No,Yes,No,8,34.0,Male,India
Yes,No,No,No,No,Yes,Possibly,4,30.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Don't Know,0,27.0,Male,France
No,Yes,I don't know,No,No,Yes,No,0,41.0,Female,United States of America
Yes,I don't know,No,No,No,No,Possibly,6,41.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,6,39.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,9,42.0,Male,United States of America
Yes,No,No,No,No,Yes,Yes,1,29.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,2,46.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,No,2,38.0,Male,Spain
Yes,Yes,Yes,No,No,Yes,Don't Know,10,34.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,10,28.0,Male,Germany
Yes,No,No,No,Yes,Yes,Yes,8,28.0,Female,Netherlands
Yes,Yes,No,Yes,Yes,Yes,No,8,38.0,Male,Germany
No,Yes,No,Yes,Yes,Yes,Yes,8,33.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Don't Know,7,38.0,Female,United States of America
No,I don't know,I don't know,No,No,Yes,Yes,10,48.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,9,34.0,Male,United States of America
Yes,No,No,No,No,No,Yes,1,29.0,Female,United States of America
No,No,Yes,No,No,Yes,Yes,9,39.0,Male,United Kingdom
Yes,Yes,Yes,No,Yes,Yes,No,6,33.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Don't Know,1,44.0,Male,France
No,I don't know,No,No,Yes,No,Yes,10,33.0,Female,United States of America
Yes,Yes,No,No,No,Yes,Possibly,3,32.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,No,7,35.0,Female,Ireland
No,I don't know,Yes,No,No,Yes,No,7,40.0,Male,France
No,I don't know,I don't know,No,No,No,Yes,4,30.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Possibly,4,34.0,Male,United States of America
Yes,I don't know,I don't know,No,Yes,No,No,9,21.0,Male,United States of America
No,Yes,I don't know,Yes,No,Yes,Yes,7,37.0,Male,France
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,33.0,Male,United Kingdom
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,7,28.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,5,41.0,Male,United States of America
Yes,No,No,No,No,Yes,No,1,34.0,Male,Germany
Yes,Yes,Yes,Yes,No,Yes,Yes,3,28.0,Male,United States of America
No,No,No,No,Yes,Yes,Possibly,8,52.0,Male,Germany
Yes,I don't know,I don't know,No,No,Yes,No,2,39.0,Male,United Kingdom
Yes,Yes,No,No,No,Yes,Possibly,5,45.0,Male,United States of America
Yes,I don't know,No,Yes,No,Yes,Possibly,8,27.0,Male,France
Yes,Yes,Yes,No,No,Yes,Yes,4,31.0,Female,United States of America
Yes,I don't know,No,No,No,Yes,Possibly,2,44.0,Male,Netherlands
Yes,Yes,I don't know,Yes,No,Yes,No,7,31.0,Male,France
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,23.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,8,38.0,Male,France
Yes,I don't know,I don't know,No,No,No,Possibly,5,37.0,Male,United States of America
Yes,Yes,No,No,No,Yes,No,4,33.0,Male,France
No,Yes,I don't know,No,No,Yes,Possibly,2,47.0,Male,United States of America
Yes,I don't know,I don't know,Yes,No,Yes,Don't Know,0,29.0,Female,United States of America
No,Yes,Yes,No,No,Yes,No,3,38.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Don't Know,4,29.0,Male,Canada
Yes,I don't know,No,Yes,Yes,Yes,Yes,10,37.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,29.0,Female,United States of America
Yes,No,I don't know,No,Yes,Yes,Yes,10,27.0,Female,United States of America
No,I don't know,No,No,No,No,No,7,38.0,Female,United States of America
Yes,Yes,Yes,Yes,No,Yes,Yes,7,29.0,Male,Switzerland
No,No,No,No,No,Yes,Yes,3,24.0,Male,United Kingdom
Yes,No,No,Yes,Yes,Yes,Yes,10,30.0,Female,United Kingdom
Yes,Yes,Yes,No,No,Yes,Possibly,7,32.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,10,37.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,Yes,0,36.0,Male,United States of America
